epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,28043.1,0.67549,0.43213,1.1319,0.94156,0.96611,0.97397,0.84136,0.60478,0.32732,1.0916,0.003961,0.003961,0.003961
124,28270.2,0.68219,0.43489,1.13776,0.94152,0.96538,0.97395,0.84196,0.60448,0.32651,1.09151,0.0039115,0.0039115,0.0039115
125,28497.2,0.68108,0.43046,1.13727,0.94181,0.96475,0.97406,0.84272,0.60428,0.32608,1.09158,0.003862,0.003862,0.003862
126,28724.4,0.68015,0.42198,1.13873,0.94279,0.96457,0.97438,0.84257,0.60397,0.32508,1.09124,0.0038125,0.0038125,0.0038125
127,28951.9,0.67668,0.42912,1.13153,0.94187,0.96582,0.97461,0.84237,0.60383,0.32393,1.09129,0.003763,0.003763,0.003763
128,29182.7,0.67032,0.4277,1.12249,0.94282,0.96661,0.97477,0.843,0.60347,0.32345,1.09076,0.0037135,0.0037135,0.0037135
129,29413.9,0.66988,0.4221,1.12372,0.94254,0.96595,0.97503,0.84355,0.60287,0.32252,1.08998,0.003664,0.003664,0.003664
130,29644.3,0.66697,0.42727,1.12753,0.94214,0.96476,0.97508,0.84372,0.6024,0.32193,1.08966,0.0036145,0.0036145,0.0036145
131,29874.5,0.66558,0.41835,1.12329,0.94179,0.96661,0.9751,0.84394,0.60174,0.32125,1.08916,0.003565,0.003565,0.003565
132,30104.8,0.66429,0.41183,1.12107,0.94201,0.96697,0.97515,0.84423,0.60143,0.32002,1.08884,0.0035155,0.0035155,0.0035155
133,30335.1,0.65889,0.41806,1.11568,0.94012,0.96948,0.97526,0.84441,0.6012,0.31935,1.08875,0.003466,0.003466,0.003466
134,30566,0.6653,0.41497,1.11725,0.94138,0.96873,0.9754,0.8449,0.60093,0.31854,1.08844,0.0034165,0.0034165,0.0034165
135,30795.1,0.65658,0.40913,1.11086,0.94311,0.96984,0.9754,0.8451,0.60057,0.31744,1.08808,0.003367,0.003367,0.003367
136,31023,0.65223,0.4061,1.10802,0.9431,0.96948,0.97545,0.84519,0.6003,0.31697,1.08768,0.0033175,0.0033175,0.0033175
137,31250.9,0.65976,0.40972,1.11512,0.94371,0.96911,0.97554,0.84577,0.59999,0.31614,1.08744,0.003268,0.003268,0.003268
138,31478.9,0.65007,0.40713,1.10313,0.94338,0.96911,0.97572,0.84578,0.59957,0.31516,1.08695,0.0032185,0.0032185,0.0032185
139,31708.1,0.64553,0.40678,1.10545,0.94179,0.97021,0.97573,0.84632,0.59911,0.31459,1.08639,0.003169,0.003169,0.003169
140,31935.8,0.64637,0.40192,1.10609,0.94274,0.97056,0.97577,0.84639,0.59889,0.31381,1.08616,0.0031195,0.0031195,0.0031195
141,32163.5,0.64913,0.39971,1.1098,0.9434,0.97056,0.97576,0.84691,0.59859,0.31312,1.08593,0.00307,0.00307,0.00307
142,32390.9,0.64182,0.39567,1.1008,0.94376,0.97012,0.97585,0.8469,0.59837,0.3124,1.08586,0.0030205,0.0030205,0.0030205
143,32618.5,0.63745,0.39476,1.09679,0.9443,0.9702,0.97583,0.84702,0.59809,0.31179,1.08559,0.002971,0.002971,0.002971
144,32845.3,0.64307,0.39625,1.10904,0.94443,0.97092,0.97614,0.84783,0.59775,0.31108,1.08502,0.0029215,0.0029215,0.0029215
145,33072.4,0.63419,0.39115,1.09863,0.94592,0.97056,0.97621,0.84817,0.59742,0.31054,1.08468,0.002872,0.002872,0.002872
146,33299.6,0.63146,0.39115,1.09636,0.94705,0.96973,0.97629,0.84833,0.59699,0.31001,1.08409,0.0028225,0.0028225,0.0028225
147,33527.3,0.63264,0.38666,1.09491,0.94738,0.96977,0.97628,0.84871,0.59652,0.30921,1.0836,0.002773,0.002773,0.002773
148,33755.2,0.62986,0.38539,1.09803,0.94804,0.9696,0.97634,0.84897,0.59591,0.30833,1.08308,0.0027235,0.0027235,0.0027235
149,33982.4,0.6261,0.38071,1.09268,0.94864,0.96984,0.97644,0.8492,0.59556,0.30738,1.0828,0.002674,0.002674,0.002674
150,34209.7,0.62861,0.38442,1.09961,0.94842,0.97063,0.9764,0.84972,0.595,0.3069,1.0823,0.0026245,0.0026245,0.0026245
151,34436.5,0.62884,0.38668,1.09622,0.94839,0.9702,0.97644,0.85002,0.59428,0.30619,1.08158,0.002575,0.002575,0.002575
152,34664.4,0.62658,0.38192,1.09336,0.94778,0.97094,0.97649,0.8505,0.59413,0.30541,1.0818,0.0025255,0.0025255,0.0025255
153,34892.4,0.621,0.37412,1.08879,0.94838,0.97127,0.97659,0.85102,0.59337,0.30477,1.0808,0.002476,0.002476,0.002476
154,35120.5,0.62037,0.37092,1.0848,0.94846,0.97133,0.97665,0.85149,0.59297,0.30389,1.08044,0.0024265,0.0024265,0.0024265
155,35350.1,0.6139,0.36964,1.08562,0.94789,0.97324,0.9767,0.85167,0.59241,0.30316,1.07977,0.002377,0.002377,0.002377
156,35582.7,0.61839,0.37659,1.08526,0.94843,0.97415,0.97675,0.85193,0.59188,0.3025,1.07923,0.0023275,0.0023275,0.0023275
157,35814.9,0.61032,0.36728,1.0847,0.94806,0.97487,0.9771,0.852,0.59138,0.30161,1.07878,0.002278,0.002278,0.002278
158,36044,0.60547,0.36743,1.0779,0.94899,0.9752,0.97716,0.85208,0.59087,0.30102,1.07835,0.0022285,0.0022285,0.0022285
159,36273.3,0.61204,0.37121,1.07975,0.94964,0.97492,0.97719,0.85283,0.59048,0.2999,1.07783,0.002179,0.002179,0.002179
160,36503.2,0.60723,0.36488,1.07491,0.94961,0.97448,0.97739,0.85364,0.58992,0.29897,1.07742,0.0021295,0.0021295,0.0021295
161,36733,0.60722,0.36452,1.06861,0.94937,0.97626,0.97749,0.85397,0.58976,0.2983,1.07735,0.00208,0.00208,0.00208
162,36961.1,0.60551,0.36413,1.07074,0.94698,0.9781,0.97753,0.8541,0.58923,0.29771,1.07659,0.0020305,0.0020305,0.0020305
